Portfolio,Asset1,Asset2,Asset3,Asset4
3.2603,-21.2234,9.3954,30.9828,-15.8945
1.1016,-10.9664,9.2783,18.4318,-15.6421
8.1062,-32.3646,5.9679,43.3808,-8.878
-0.0527,-13.81,10.8904,22.0749,-19.208
10.3792,-35.9521,3.7003,47.2187,-4.5876
7.4603,-16.4926,4.3363,25.3834,-5.7669
7.8017,-24.2848,5.4158,34.4813,-7.8107
-1.0882,-15.3174,11.9477,23.9477,-21.6661
-7.5743,-1.4493,12.6835,4.6324,-23.4408
-21.0326,8.2281,14.3704,-15.8904,-27.7407
-3.2218,-0.4642,8.7292,2.9853,-14.4721
0.8655,-15.6742,10.5166,24.3857,-18.3626
-6.554,-6.2835,13.7046,12.0269,-26.0021
5.8308,-22.019,7.133,31.9003,-11.1835
-4.4168,-4.0652,11.4968,8.7569,-20.6053
0.0656,-19.5881,11.7311,29.0767,-21.1542
6.1213,-17.1793,5.9707,26.2133,-8.8833
1.8813,-9.9597,8.2901,17.1023,-13.5513
7.7671,-1.5214,-4.024,4.7507,8.5618
19.5324,-8.2788,-24.8983,14.828,37.8816
8.4551,3.1887,-13.1033,-3.7408,22.1104
-13.1005,12.3377,-12.5483,-34.2146,21.3247
-7.2518,11.3545,-14.0941,-28.014,23.5019
-16.5106,12.3993,-6.2447,-34.694,12.0286
-2.7572,9.032,-7.9016,-18.4322,14.5445
-17.1042,12.7393,-10.3408,-37.6534,18.1507
-11.2122,11.6738,-8.4316,-29.7921,15.3377
-12.7319,12.0457,-9.3397,-32.1219,16.6839
-7.6333,10.4991,-6.3065,-23.9495,12.1236
-18.2398,11.7041,2.5817,-29.9701,-2.5555
-13.4832,11.098,-0.2396,-26.702,2.3605
3.9172,3.0928,-3.7453,-3.5488,8.1184
-0.4644,8.025,-8.2123,-15.2873,15.0101
3.2048,6.7694,-11.3705,-11.8353,19.6411
-1.7181,9.4188,-12.1835,-19.759,20.8056
7.9663,2.8009,-11.0639,-2.9699,19.1993
1.0334,8.6099,-14.2977,-17.0648,23.786
4.5258,6.9582,-15.3491,-12.3273,25.244
11.3264,-2.4012,-9.7898,6.1718,17.3456
13.3848,-9.5973,-7.3517,16.6179,13.7159
10.9324,-6.8225,-4.7525,12.7956,9.7118
11.2125,-6.5139,-5.4836,12.3566,10.8534
11.9197,-15.7288,-1.8454,24.4526,5.0413
14.7747,-23.1512,-4.3539,33.1956,9.0842
15.985,-30.643,-5.019,41.5175,10.1294
18.4081,-33.2063,-9.3053,44.2865,16.6333
18.7389,-42.5187,-8.9082,54.1196,16.0462
20.6424,-50.2113,-12.5862,62.0614,21.3786
18.505,-40.9795,-8.5632,52.5141,15.5336
18.9365,-31.796,-10.6838,42.7671,18.6492
22.0249,-50.4084,-16.0833,62.2633,26.2533
19.7748,-43.1183,-11.0963,54.7433,19.246
18.0001,-20.6054,-11.5282,30.2658,19.8679
18.263,-22.8151,-11.3592,32.8124,19.625
10.2837,-5.9157,-4.3057,11.497,9.008
1.2882,-2.7049,5.7022,6.6533,-8.3624
-3.7298,1.9059,7.4624,-1.2488,-11.8492
-4.1825,3.6557,6.2162,-4.6912,-9.3632
-5.8669,6.1883,4.6261,-10.3712,-6.31
-16.6243,9.9509,7.9098,-21.7211,-12.7639
-12.05,6.1038,10.6313,-10.1643,-18.6208
-7.7055,5.73,7.2507,-9.2656,-11.4205
0.6189,-5.0576,7.6353,10.2424,-12.2012
-19.8916,9.4395,11.7871,-19.8321,-21.2861
-18.9308,11.0121,6.743,-26.2825,-10.4034
-10.3386,9.37,2.7667,-19.5873,-2.8879
-18.5832,10.8032,7.1697,-25.2988,-11.2573
-31.3506,12.5782,10.4403,-36.1776,-18.1915
-16.0645,7.4309,12.0766,-13.599,-21.973
-120.6339,13.9077,12.7982,-123.6171,-23.7226
-128.8561,13.9077,6.8321,-139.015,-10.5809
-144.7628,13.9077,14.3138,-145.3936,-27.5906
-136.7368,13.9077,11.2041,-141.9219,-19.9267
-134.3462,13.9077,9.6266,-141.4849,-16.3955
-125.3772,13.9077,9.0947,-133.131,-15.2486
-126.9216,13.9077,6.4697,-137.4372,-9.8617
-126.4127,13.9077,5.8003,-137.5684,-8.5522
-129.3666,13.9077,7.6295,-138.7144,-12.1893
-142.9295,13.9077,13.3938,-145.0213,-25.2097
-23.2885,12.2003,5.305,-33.1956,-7.5983
-20.5483,11.0109,8.3098,-26.2766,-13.5924
-9.1419,10.1772,-1.9972,-22.6127,5.2908
-43.2734,12.346,18.3539,-34.2782,-39.6951
-39.009,12.1352,17.0647,-32.7346,-35.4743
-41.1161,11.3685,19.5179,-28.0884,-43.9141
-36.5662,7.7919,21.1898,-14.6118,-50.936
-40.3241,10.0826,20.741,-22.2356,-48.9121
-36.7996,7.3163,21.4797,-13.2854,-52.3102
-19.8211,8.7024,12.9621,-17.3577,-24.1278
-41.3534,12.6395,16.5129,-36.7215,-33.7844
-33.593,10.4026,17.9837,-23.5394,-38.4399
-17.3251,4.5519,15.4742,-6.5906,-30.7606
7.3167,-1.2426,-3.5688,4.2915,7.8366
17.1996,-30.3681,-7.3222,41.2186,13.6713
16.3091,-22.697,-7.2826,32.6774,13.6114
13.8979,-6.3437,-11.0482,12.1132,19.1766
20.3611,-20.2291,-17.7337,29.8272,28.4966
19.924,-11.7988,-22.1981,19.5146,34.4063
15.7048,-13.0366,-9.976,21.0991,17.6183
4.3307,-2.4928,1.9685,6.3176,-1.4626
6.9848,0.7893,-5.5324,0.7989,10.929
6.7778,-3.7022,-0.465,8.2035,2.7415
-0.2043,4.7714,-0.2051,-7.0726,2.302
-24.6811,12.3577,5.7131,-34.3685,-8.3833
-23.122,12.8761,-1.6043,-39.0375,4.6436
-11.8023,11.168,-3.2589,-27.0512,7.3398
-18.752,11.1872,5.8421,-27.1479,-8.6334
-9.5353,8.9006,3.1578,-17.998,-3.5957
-2.3282,6.0415,0.438,-10.0126,1.205
5.4727,3.6174,-7.5545,-4.6124,14.0222
-6.1982,8.2915,0.5093,-16.0815,1.0825
-17.4886,11.8373,0.7041,-30.7771,0.7471
-32.0348,12.905,8.5922,-39.3486,-14.1834
-14.9285,10.4241,4.6699,-23.63,-6.3925
-15.1535,10.1948,5.7071,-22.6836,-8.3717
-11.9996,10.4417,0.9614,-23.7048,0.3021
-42.4464,13.7286,3.5213,-55.4373,-4.259
-41.0958,13.651,5.3024,-52.4559,-7.5933
-39.475,13.6056,5.0184,-51.0473,-7.0517
-32.7906,13.2223,5.7097,-43.3457,-8.3769
-25.1679,12.3273,6.4367,-34.1354,-9.7966
-30.5446,12.2744,11.477,-33.7369,-20.5591
-17.4201,11.5159,2.672,-28.8903,-2.7176
-36.2101,13.0226,11.0631,-40.6933,-19.6026
-29.8629,12.2878,10.8873,-33.8371,-19.201
-43.0655,13.0345,15.4614,-40.8368,-30.7246
-10.9279,0.5719,13.9497,1.186,-26.6356
-18.5858,3.3119,16.8255,-3.9892,-34.734
-7.7777,1.6766,11.1365,-0.8198,-19.7709
-14.7235,5.016,13.5919,-7.6181,-25.7133
-13.8861,5.4154,12.6939,-8.5291,-23.4664
-6.6035,2.8071,9.3343,-2.9823,-15.7626
-4.2732,-2.9575,10.9283,7.0502,-19.2942
3.5989,-7.3178,5.6131,13.4939,-8.1903
15.6159,-24.4311,-5.5395,34.6465,10.9402
15.8262,-39.1253,-3.758,50.5708,8.1387
18.9796,-22.2628,-13.2371,32.1802,22.2992
23.25,-30.2958,-22.8642,41.1399,35.2701
15.0358,-23.7125,-4.6742,33.8335,9.5889
19.2118,-19.9605,-14.7343,29.5133,24.3934
21.3708,-38.4893,-15.5167,49.9018,25.475
20.0658,-26.7988,-14.502,37.2961,24.0705
19.1926,-24.7796,-12.9239,35.0391,21.857
21.6477,-20.4314,-21.5637,30.0632,33.5796
22.2343,-22.6175,-22.389,32.5865,34.6543
24.7113,-23.0648,-31.7784,33.0972,46.4574
23.6113,-29.7068,-24.3109,40.4976,37.1313
25.0112,-43.509,-26.3437,55.1493,39.7146
25.753,-33.494,-31.6557,44.5952,46.3075
25.5732,-36.0514,-30.1082,47.3241,44.4087
23.5345,-12.2194,-36.7544,20.0563,52.4521
27.7673,-48.7551,-38.1423,60.5669,54.0976
28.8882,-50.5415,-44.638,62.3996,61.668
24.941,-54.3976,-24.9579,66.339,37.9574
15.6837,-20.6354,-6.6859,30.3007,12.7043
6.3856,-7.2871,2.3338,13.4507,-2.1119
9.8806,-5.7818,-3.7223,11.3029,8.0818
9.6204,-2.9718,-5.7562,7.0726,11.2758
9.0099,-0.3461,-7.7607,2.7839,14.3329
9.0484,-4.4647,-3.3789,9.3595,7.5325
-1.99,3.8279,3.5597,-5.0483,-4.3294
-10.3071,9.8507,1.0743,-21.3381,0.106
-17.9066,11.3283,4.2538,-27.8759,-5.6128
-8.674,10.2294,-2.9959,-22.8238,6.9162
-1.4406,6.7382,-2.4418,-11.7547,6.0177
-4.0545,8.9985,-5.2998,-18.3208,10.5676
-10.9991,9.8874,1.8577,-21.4775,-1.2666
-19.3848,10.6657,8.393,-24.6776,-13.766
-18.4908,9.9285,9.6398,-21.6349,-16.4242
-21.1671,9.9285,11.7589,-21.6349,-21.2196
-2.5682,-1.3295,8.6668,4.435,-14.3406
-12.6256,3.1595,13.58,-3.6822,-25.6828
-18.6256,6.2988,14.9077,-10.6441,-29.188
-11.4652,5.5922,10.7322,-8.9408,-18.8488
-18.2249,5.7797,15.1027,-9.3836,-29.7237
-2.2842,-9.74,11.6795,16.809,-21.0327
6.3972,-29.4977,7.4503,40.2692,-11.8247
10.664,-19.6009,1.084,29.0918,0.0892
7.5141,-15.8512,4.1122,24.6023,-5.3492
3.4068,-10.4205,6.97,17.7137,-10.8564
-14.2384,6.1535,12.2268,-10.2859,-22.3328
-1.1965,0.0223,6.4453,2.1495,-9.8137
4.892,-18.442,7.4646,27.7232,-11.8537
-5.2785,-6.0468,12.7939,11.6865,-23.7121
-10.7431,-1.4109,14.6869,4.5693,-28.5884
-11.4855,0.0831,14.5158,2.0441,-28.1284
-31.6966,9.3303,18.4504,-19.4487,-40.0287
-27.6821,6.9083,18.7743,-12.1966,-41.1681
-16.1127,-4.3043,18.1824,9.1183,-39.1091
4.342,-21.5728,8.4834,31.3865,-13.9551
11.706,-28.4144,1.2649,39.0813,-0.2259
12.9394,-28.5251,-0.4429,39.2031,2.7043
8.2791,-11.8853,1.9267,19.6263,-1.3886
10.641,-23.309,1.8789,33.3753,-1.3042
16.6351,-19.3956,-8.9962,28.8505,16.1765
8.9329,-6.0091,-2.0227,11.632,5.3327
7.3072,-2.5601,-2.2313,6.4244,5.6744
1.8604,4.865,-3.582,-7.2803,7.8577
6.8029,5.2423,-14.8183,-8.131,24.5099
-8.1003,10.5615,-5.8251,-24.219,11.3823
-4.1315,7.2765,0.2613,-13.177,1.5078
-2.3507,5.3443,1.7544,-8.365,-1.0844
3.6091,3.2317,-3.4638,-3.8274,7.6685
3.0801,1.8243,-0.5743,-1.0956,2.9257
-0.2951,4.5428,0.3121,-6.5709,1.4209
0.3811,7.133,-6.7248,-12.7907,12.7636
23.4835,-19.6901,-28.7474,29.1965,42.7245
28.6611,-61.8474,-41.9407,73.8999,58.5493
24.7517,-34.9946,-27.0212,46.1997,40.5677
23.047,-30.2897,-22.1822,41.1333,34.3856
24.4525,-28.6698,-27.8662,39.362,41.6264
22.4057,-18.7895,-25.1791,28.1351,38.2391
23.1689,-20.9259,-26.6727,30.6381,40.1294
25.9298,-28.3505,-34.5688,39.0111,49.838
25.5582,-32.7003,-31.0493,43.7424,45.5654
26.3206,-50.9088,-30.7733,62.7759,45.2269
19.0113,-27.9655,-11.6432,38.5871,20.0329
-1.7324,4.6649,2.0531,-6.8379,-1.6126
5.9612,-2.6673,-0.1156,6.594,2.1502
8.463,-2.803,-3.889,6.8077,8.3472
8.8269,-1.7972,-5.5811,5.2007,11.0046
0.8562,4.7055,-1.6633,-6.9271,4.7411
-5.1188,8.2222,-0.8394,-15.8726,3.371
-20.8358,11.6441,5.9164,-29.6186,-8.7777
-11.6518,9.4952,3.9714,-20.0304,-5.0881
-17.242,10.6427,6.3847,-24.5752,-9.6942
-10.1052,9.931,0.4864,-21.6445,1.1219
-3.3986,7.2491,-0.7268,-13.103,3.1821
-7.8707,9.4736,-0.9543,-19.9533,3.5633
-1.9029,7.2033,-2.9193,-12.9794,6.7925
-2.6259,6.0815,0.7709,-10.1101,0.6317
-0.9103,4.8601,0.6382,-7.2694,0.8607
6.8988,0.0625,-4.3992,2.0797,9.1557
6.8646,1.7439,-6.7765,-0.9453,12.8425
-5.6771,8.927,-2.2907,-18.0847,5.7713
-21.3595,12.3028,2.2503,-33.9497,-1.963
-29.6048,12.9584,5.6599,-39.9426,-8.2806
-16.0238,10.9825,3.6753,-26.1399,-4.5416
-19.2287,11.4006,5.3878,-28.2603,-7.7569
-15.5839,10.9105,3.4719,-25.7977,-4.1686
-15.3516,11.2073,1.727,-27.2497,-1.0361
-6.4694,8.1335,1.3109,-15.6076,-0.3063
-11.6866,9.1465,4.9991,-18.8171,-7.0152
-15.567,11.2741,1.647,-27.5928,-0.8953
-2.6474,7.0247,-1.2868,-12.5028,4.1176
8.9021,-3.6427,-3.8454,8.1123,8.278
5.3818,1.6517,-3.9658,-0.7735,8.4694
0.5625,3.8152,0.2614,-5.0217,1.5076
1.1835,3.1481,0.3656,-3.6594,1.3292
-3.7848,5.3275,3.5792,-8.3263,-4.3651
2.2973,-5.2276,6.0291,10.493,-8.9973
1.4994,-4.1139,6.2895,8.8306,-9.5069
3.3433,-5.0809,4.8165,10.2768,-6.6691
7.8917,-34.3987,6.3474,45.5637,-9.6207
7.8985,-28.5162,5.8287,39.1933,-8.6073
8.3176,-22.5256,4.574,32.4814,-6.2122
11.5217,-31.7208,1.9025,42.6858,-1.3459
10.9207,-21.9795,1.2564,31.8549,-0.2111
12.012,-29.8669,1.0389,40.6724,0.1676
10.3425,-31.0518,3.3153,41.9614,-3.8825
7.1495,-9.3102,2.3263,16.2319,-2.0985
-6.0261,3.6761,8.0178,-4.7333,-12.9867
-4.1059,-1.4136,10.0437,4.5736,-17.3096
-26.614,11.2612,12.3992,-27.5258,-22.7485
-13.4941,6.7395,11.0135,-11.7581,-19.4889
0.0427,-4.9696,8.1404,10.1122,-13.2403
0.6575,-6.8569,8.3534,12.8443,-13.6833
-0.3509,-2.9895,7.5349,7.1003,-11.9967
1.0531,-5.9995,7.6349,11.6182,-12.2005
-25.9427,11.6582,10.5598,-29.701,-18.4598
-27.4721,12.0672,10.049,-32.2669,-17.3214
-11.2996,9.9114,2.1592,-21.5693,-1.8008
-17.9962,12.0689,-0.3733,-32.2785,2.5867
-8.7139,10.1259,-2.4282,-22.4072,5.9957
-26.5023,13.1069,-0.2632,-41.7464,2.4004
-41.2065,13.7149,2.7144,-54.8419,-2.794
-43.8775,13.716,5.7526,-54.8862,-8.4599
-35.9533,13.5139,3.5872,-48.6745,-4.3799
-46.6505,13.7827,5.1663,-58.2663,-7.3332
-6.1869,9.2442,-2.6712,-19.1507,6.3907
5.9254,2.104,-5.6196,-1.6233,11.0642
1.9354,4.0717,-2.2009,-5.56,5.6245
0.6635,3.7163,0.2689,-4.8166,1.4948
4.8284,0.1896,-1.2107,1.8585,3.9909
4.009,-1.8336,1.8683,5.2596,-1.2853
2.9688,-2.1221,3.397,5.7254,-4.0315
3.0697,0.8264,0.6216,0.7324,0.8894
3.4037,0.0866,0.94,2.0379,0.3392
3.1404,1.5889,-0.3662,-0.657,2.5746
-3.3428,5.0108,3.5328,-7.6064,-4.28
-7.9652,7.4678,4.6808,-13.7008,-6.413
-10.6821,8.5677,5.3318,-16.9321,-7.6495
-6.4547,6.9313,3.986,-12.2569,-5.1152
-10.9342,8.2487,6.3031,-15.9524,-9.5336
-2.136,5.363,1.4386,-8.4081,-0.5296
-7.1106,7.9756,2.5438,-15.1424,-2.4875
1.6233,4.0124,-1.6139,-5.4349,4.6596
2.3733,2.3119,-0.183,-2.0202,2.2646
-0.8342,3.3754,2.7297,-4.1179,-2.8215
-2.3324,5.0141,2.276,-7.6137,-2.0088
-8.5939,6.0751,7.6436,-10.0943,-12.2182
-0.0464,-2.3315,6.8592,6.0608,-10.6349
0.4376,0.2786,4.4664,1.7029,-6.0103
4.0126,-3.63,3.1729,8.0927,-3.6231
-7.226,4.4033,8.382,-6.2683,-13.743
-8.1552,4.668,8.9398,-6.8446,-14.9183
-17.8764,7.9101,12.7365,-14.952,-23.5709
-28.2848,10.4457,15.3208,-23.7215,-30.3298
-24.0719,11.0902,11.0312,-26.6639,-19.5294
-12.3344,6.2626,10.6736,-10.5543,-18.7162
-23.4949,11.3411,9.7317,-27.9431,-16.6247
-33.0271,12.4608,12.3645,-35.1877,-22.6647
-19.1052,10.2495,9.3524,-22.9054,-15.8017
-30.3364,12.7251,8.5498,-37.5169,-14.0945
-28.1152,12.2568,9.6235,-33.6067,-16.3888
-19.9753,10.4309,9.6081,-23.659,-16.3553
-18.451,10.6876,7.4397,-24.7752,-11.8031
-9.8654,9.4043,2.0563,-19.7079,-1.6182
-10.5659,8.7563,4.7481,-17.5303,-6.54
-14.309,11.3017,-0.2465,-27.7364,2.3722
7.5836,-0.4443,-4.9589,2.9514,10.0354
12.0924,-2.3445,-11.5641,6.0816,19.9194
4.4129,3.0537,-4.5263,-3.4706,9.3562
7.9064,-2.8295,-2.9409,6.8494,6.8273
15.9218,-16.6403,-8.6229,25.5625,15.6225
19.8845,-23.1657,-15.1996,33.2121,25.0376
19.989,-26.703,-14.3334,37.1896,23.8357
19.9639,-26.0217,-14.4665,36.431,24.0211
15.0807,-8.1569,-12.0787,14.6602,20.656
13.4963,-8.9576,-8.0132,15.7551,14.712
14.7131,-21.1446,-4.7643,30.8916,9.7305
15.2936,-21.2105,-5.7866,30.9679,11.3228
18.0341,-29.5082,-9.1659,40.2807,16.4275
18.5523,-21.1945,-12.5984,30.9494,21.3959
20.1376,-19.8211,-17.2949,29.35,27.9036
18,-11.37,-16.7438,18.9586,27.1553
14.3252,-3.9408,-14.8353,8.5679,24.5334
5.9737,3.6268,-8.58,-4.6318,15.5586
15.6008,-14.6635,-8.8804,23.1397,16.005
14.152,-14.1986,-6.2547,22.5612,12.0441
12.8092,-3.3287,-11.9207,7.6282,20.4304
9.8361,-0.7425,-8.8752,3.4566,15.9972
6.8189,0.9181,-5.4173,0.5678,10.7504
15.5003,-10.8549,-10.9161,18.2857,18.9857
10.1278,-3.4493,-6.2045,7.8146,11.9669
2.3915,4.1791,-3.1263,-5.7877,7.1265
5.2531,0.9581,-2.7996,0.4957,6.5989
13.0034,-8.1888,-7.5946,14.7041,14.0826
16.2973,-14.8063,-10.2903,23.3168,18.0771
15.7163,-17.8852,-7.7003,27.0598,14.2419
10.7225,-5.3713,-5.5198,10.7041,10.9095
8.7996,-1.6132,-5.7421,4.9009,11.254
11.0477,-5.7995,-5.7543,11.3287,11.2728
3.3299,1.5321,-0.5717,-0.5518,2.9213
3.2574,0.6633,0.5391,1.0237,1.0314
8.7813,-7.6323,-0.7636,13.9333,3.2438
13.0803,-22.8882,-1.6553,32.8958,4.7281
9.8389,-18.5212,1.9204,27.8171,-1.3774
3.141,-7.5776,6.2075,13.8572,-9.3461
6.1541,-4.5708,1.0389,9.5185,0.1675
10.1309,-13.7891,0.1169,22.0486,1.7545
9.7081,-16.5566,1.5785,25.4611,-0.7749
11.8517,-18.5484,-0.8677,27.8494,3.4183
17.3349,-38.823,-6.4715,50.2529,12.3765
16.2498,-26.1138,-6.3303,36.5338,12.1602
15.0801,-21.7349,-5.253,31.5734,10.4946
9.8464,-6.7591,-2.9625,12.7057,6.8623
11.5382,-3.9596,-8.422,8.5965,15.3233
14.8108,-5.4508,-14.1781,10.8206,23.6191
9.7602,-2.6545,-6.3513,6.5737,12.1923
1.6556,6.0037,-5.8541,-9.9211,11.4271
5.7692,3.6908,-8.3019,-4.7637,15.1441
-1.1047,7.7149,-5.8541,-14.3926,11.427
-7.976,9.7181,-1.7699,-20.8412,4.917
-8.3596,9.8844,-1.886,-21.4661,5.108
-5.1968,8.2238,-0.7289,-15.8773,3.1857
-2.6611,6.9027,-0.9677,-12.1817,3.5857
1.6735,2.8396,0.1044,-3.0463,1.7757
5.1805,-2.4475,0.7987,6.2456,0.5837
10.099,-8.9885,-1.9924,15.7969,5.2829
8.1776,-10.0139,1.2943,17.1744,-0.2772
10.9142,-20.5105,0.9533,30.1553,0.316
11.7041,-18.9652,-0.5377,28.343,2.864
10.7799,-13.8439,-0.8023,22.1173,3.3087
11.0441,-16.1179,-0.4034,24.9278,2.6375
10.6087,-10.4713,-2.006,17.7807,5.3053
6.1699,-0.5779,-2.4312,3.1784,6.0005
0.8322,2.7142,1.4269,-2.7998,-0.5091
-6.0046,6.3194,4.5633,-10.6952,-6.1921
-9.1135,7.2872,6.2657,-13.2062,-9.4602
-0.4891,2.3969,3.4791,-2.1835,-4.1816
-16.9539,10.7434,5.7141,-25.026,-8.3854
-6.6203,6.3855,5.143,-10.8599,-7.2889
-16.6908,7.8744,11.9461,-14.8489,-21.6625
-16.917,6.4078,13.7755,-10.9158,-26.1846
-13.2612,-1.2058,16.0099,4.2306,-32.2959
-7.9981,-9.6395,15.3341,16.6745,-30.3671
-3.5809,-13.7648,13.4058,22.0181,-25.2401
-2.511,-15.6899,13.0028,24.4049,-24.2288
-7.115,-12.9642,15.4034,21.0072,-30.5615
-3.8872,-16.6109,14.0229,25.5268,-26.826
2.7736,-32.8175,10.859,43.8685,-19.1364
-3.1622,-12.102,12.8263,19.9055,-23.7919
3.6944,-23.2106,9.2735,33.2632,-15.6318
7.5998,-27.9864,6.0877,38.6101,-9.1116
7.0506,-9.548,2.5558,16.5517,-2.5089
1.7846,-5.5061,6.6928,10.9015,-10.3036
